Escola,Media,Planilha,Num_Valores
PEI EE Maria Falconi de Felício,3.43,ALURA 2025  por semana inicio na semana 1 ,3
PEI EE DR Antonio Furlan Júnior,3.3699999999999997,ALURA 2025  por semana inicio na semana 1 ,3
EE Mauricio Montecchi,2.6633333333333336,ALURA 2025  por semana inicio na semana 1 ,3
EE Dona Adélia Frascino,2.796666666666667,ALURA 2025  por semana inicio na semana 1 ,3
PEI EE Profª Dolores B Novaes,2.5399999999999996,ALURA 2025  por semana inicio na semana 1 ,3
PEI EE Domingos Paro,2.5,ALURA 2025  por semana inicio na semana 1 ,3
EE Odulfo de Oliveira Guimarães,3.4433333333333334,ALURA 2025  por semana inicio na semana 1 ,3
EE Profº Basílio R da Silva,2.2866666666666666,ALURA 2025  por semana inicio na semana 1 ,3
EE Profª Yolanda Luiz Sicchieri,2.346666666666667,ALURA 2025  por semana inicio na semana 1 ,3
EE Profª Josepha Castro,1.37,ALURA 2025  por semana inicio na semana 1 ,3
EE Profª Nícia Fabiola Z. Giraldi,3.356666666666667,ALURA 2025  por semana inicio na semana 1 ,3
EE DR Isaías José Ferreira,2.2733333333333334,ALURA 2025  por semana inicio na semana 1 ,3
EE Profª Maria Elyde M dos Santos,3.983333333333333,ALURA 2025  por semana inicio na semana 1 ,3
EE Profª Dolores M de Castro,2.1366666666666667,ALURA 2025  por semana inicio na semana 1 ,3
EE Profª Edith Silveira Dalmaso,2.1933333333333334,ALURA 2025  por semana inicio na semana 1 ,3
EE Profª Maria C R S Magon,2.483333333333333,ALURA 2025  por semana inicio na semana 1 ,3
EE Orminda Guimarães Cotrim,2.6033333333333335,ALURA 2025  por semana inicio na semana 1 ,3
EE DR Mário Lins,0.6866666666666666,ALURA 2025  por semana inicio na semana 1 ,3
EE Profº Nestor G de Araújo,2.4533333333333336,ALURA 2025  por semana inicio na semana 1 ,3
EE Profº Bruno Pieroni,1.6333333333333335,ALURA 2025  por semana inicio na semana 1 ,3
PEI EE José Luiz de Siqueira,2.66,ALURA 2025  por semana inicio na semana 1 ,3
EE Profº Plínio Berardo,1.2633333333333334,ALURA 2025  por semana inicio na semana 1 ,3
EE Winston Churchill,2.0566666666666666,ALURA 2025  por semana inicio na semana 1 ,3
EE Anna Passamonti Balardin,1.89,ALURA 2025  por semana inicio na semana 1 ,3
EE Ferrucio Chiaratti,1.5899999999999999,ALURA 2025  por semana inicio na semana 1 ,3
EE Profª Maria C R S Magon,99.01,LEIA 2025 inicio na semana 1  OK,1
PEI EE DR Antonio Furlan Júnior,163.82,LEIA 2025 inicio na semana 1  OK,1
PEI EE Maria Falconi de Felício,156.34,LEIA 2025 inicio na semana 1  OK,1
EE Winston Churchill,110.17,LEIA 2025 inicio na semana 1  OK,1
EE Dona Adélia Frascino,110.3,LEIA 2025 inicio na semana 1  OK,1
PEI EE Domingos Paro,173.8,LEIA 2025 inicio na semana 1  OK,1
EE Profº Bruno Pieroni,56.6,LEIA 2025 inicio na semana 1  OK,1
PEI EE Profª Dolores B Novaes,89.92,LEIA 2025 inicio na semana 1  OK,1
EE Profª Dolores M de Castro,63.14,LEIA 2025 inicio na semana 1  OK,1
EE Profª Maria Elyde M dos Santos,127.39,LEIA 2025 inicio na semana 1  OK,1
EE Profº Basílio R da Silva,63.89,LEIA 2025 inicio na semana 1  OK,1
EE Profº Plínio Berardo,65.79,LEIA 2025 inicio na semana 1  OK,1
EE Mauricio Montecchi,88.65,LEIA 2025 inicio na semana 1  OK,1
PEI EE José Luiz de Siqueira,164.63,LEIA 2025 inicio na semana 1  OK,1
EE Profª Edith Silveira Dalmaso,65.95,LEIA 2025 inicio na semana 1  OK,1
EE Profª Nícia Fabiola Z. Giraldi,53.4,LEIA 2025 inicio na semana 1  OK,1
EE Odulfo de Oliveira Guimarães,57.45,LEIA 2025 inicio na semana 1  OK,1
EE Profº Nestor G de Araújo,125.51,LEIA 2025 inicio na semana 1  OK,1
EE Profª Yolanda Luiz Sicchieri,63.78,LEIA 2025 inicio na semana 1  OK,1
EE Ferrucio Chiaratti,48.17,LEIA 2025 inicio na semana 1  OK,1
EE Profª Josepha Castro,43.62,LEIA 2025 inicio na semana 1  OK,1
EE DR Mário Lins,66.38,LEIA 2025 inicio na semana 1  OK,1
EE Anna Passamonti Balardin,37.13,LEIA 2025 inicio na semana 1  OK,1
EE Luiz Marcari,54.3,LEIA 2025 inicio na semana 1  OK,1
EE DR Isaías José Ferreira,46.28,LEIA 2025 inicio na semana 1  OK,1
EE Orminda Guimarães Cotrim,72.02,LEIA 2025 inicio na semana 1  OK,1
EE Luiz Marcari,1.308,plataforma SPeak 2025 por semana até semana 43,3
PEI EE José Luiz de Siqueira,0.8776666666666665,plataforma SPeak 2025 por semana até semana 43,3
EE Profº Nestor G de Araújo,1.0983333333333334,plataforma SPeak 2025 por semana até semana 43,3
EE DR Mário Lins,1.2006666666666668,plataforma SPeak 2025 por semana até semana 43,3
EE Profº Plínio Berardo,0.871,plataforma SPeak 2025 por semana até semana 43,3
PEI EE Domingos Paro,2.549,plataforma SPeak 2025 por semana até semana 43,3
PEI EE Maria Falconi de Felício,1.3549999999999998,plataforma SPeak 2025 por semana até semana 43,3
EE Mauricio Montecchi,3.423666666666666,plataforma SPeak 2025 por semana até semana 43,3
EE Orminda Guimarães Cotrim,0.8516666666666667,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Josepha Castro,1.069,plataforma SPeak 2025 por semana até semana 43,3
EE Dona Adélia Frascino,0.694,plataforma SPeak 2025 por semana até semana 43,3
PEI EE Profª Dolores B Novaes,1.0596666666666665,plataforma SPeak 2025 por semana até semana 43,3
EE Profº Basílio R da Silva,0.666,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Dolores M de Castro,0.5416666666666666,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Yolanda Luiz Sicchieri,1.0256666666666667,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Edith Silveira Dalmaso,1.2633333333333334,plataforma SPeak 2025 por semana até semana 43,3
PEI EE DR Antonio Furlan Júnior,1.2016666666666664,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Nícia Fabiola Z. Giraldi,0.6779999999999999,plataforma SPeak 2025 por semana até semana 43,3
EE DR Isaías José Ferreira,0.7116666666666666,plataforma SPeak 2025 por semana até semana 43,3
EE Ferrucio Chiaratti,0.438,plataforma SPeak 2025 por semana até semana 43,3
EE Winston Churchill,1.4426666666666668,plataforma SPeak 2025 por semana até semana 43,3
EE Anna Passamonti Balardin,0.653,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Maria C R S Magon,0.6686666666666667,plataforma SPeak 2025 por semana até semana 43,3
EE Profº Bruno Pieroni,0.9119999999999999,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Maria Elyde M dos Santos,0.9870000000000001,plataforma SPeak 2025 por semana até semana 43,3
EE Odulfo de Oliveira Guimarães,0.5476666666666666,plataforma SPeak 2025 por semana até semana 43,3
